"","product_code","station_number","year","month","mean_max","quality"
"1","IDCJAC0002","040214",1887,"January",29.5,"Y"
"2","IDCJAC0002","040214",1887,"February",27.6,"Y"
"3","IDCJAC0002","040214",1887,"March",27.6,"Y"
"4","IDCJAC0002","040214",1887,"April",25.2,"Y"
"5","IDCJAC0002","040214",1887,"May",21.6,"Y"
"6","IDCJAC0002","040214",1887,"June",18.7,"Y"
"7","IDCJAC0002","040214",1887,"July",19.9,"Y"
"8","IDCJAC0002","040214",1887,"August",20.8,"Y"
"9","IDCJAC0002","040214",1887,"September",23.1,"Y"
"10","IDCJAC0002","040214",1887,"October",26.6,"Y"
"11","IDCJAC0002","040214",1887,"November",26.4,"Y"
"12","IDCJAC0002","040214",1887,"December",27.2,"Y"
"13","IDCJAC0002","040214",1888,"January",29.1,"Y"
"14","IDCJAC0002","040214",1888,"February",27.7,"Y"
"15","IDCJAC0002","040214",1888,"March",28.1,"Y"
"16","IDCJAC0002","040214",1888,"April",24.6,"Y"
"17","IDCJAC0002","040214",1888,"May",22.7,"Y"
"18","IDCJAC0002","040214",1888,"June",21.5,"Y"
"19","IDCJAC0002","040214",1888,"July",21.5,"Y"
"20","IDCJAC0002","040214",1888,"August",22.7,"Y"
"21","IDCJAC0002","040214",1888,"September",24.1,"Y"
"22","IDCJAC0002","040214",1888,"October",27.3,"Y"
"23","IDCJAC0002","040214",1888,"November",29.6,"Y"
"24","IDCJAC0002","040214",1888,"December",29.3,"Y"
"25","IDCJAC0002","040214",1889,"January",30.9,"Y"
"26","IDCJAC0002","040214",1889,"February",31.2,"Y"
"27","IDCJAC0002","040214",1889,"March",28.4,"Y"
"28","IDCJAC0002","040214",1889,"April",25.4,"Y"
"29","IDCJAC0002","040214",1889,"May",22.7,"Y"
"30","IDCJAC0002","040214",1889,"June",20.2,"Y"
"31","IDCJAC0002","040214",1889,"July",19.7,"Y"
"32","IDCJAC0002","040214",1889,"August",21.4,"Y"
"33","IDCJAC0002","040214",1889,"September",24,"Y"
"34","IDCJAC0002","040214",1889,"October",26,"Y"
"35","IDCJAC0002","040214",1889,"November",27.4,"Y"
"36","IDCJAC0002","040214",1889,"December",30.1,"Y"
"37","IDCJAC0002","040214",1890,"January",27.9,"Y"
"38","IDCJAC0002","040214",1890,"February",27.5,"Y"
"39","IDCJAC0002","040214",1890,"March",26.4,"Y"
"40","IDCJAC0002","040214",1890,"April",24.3,"Y"
"41","IDCJAC0002","040214",1890,"May",22.1,"Y"
"42","IDCJAC0002","040214",1890,"June",20.7,"Y"
"43","IDCJAC0002","040214",1890,"July",18.9,"Y"
"44","IDCJAC0002","040214",1890,"August",21.4,"Y"
"45","IDCJAC0002","040214",1890,"September",24.4,"Y"
"46","IDCJAC0002","040214",1890,"October",28.5,"Y"
"47","IDCJAC0002","040214",1890,"November",28.2,"Y"
"48","IDCJAC0002","040214",1890,"December",28.8,"Y"
"49","IDCJAC0002","040214",1891,"January",29.3,"Y"
"50","IDCJAC0002","040214",1891,"February",28.6,"Y"
"51","IDCJAC0002","040214",1891,"March",26.4,"Y"
"52","IDCJAC0002","040214",1891,"April",24.9,"Y"
"53","IDCJAC0002","040214",1891,"May",22.1,"Y"
"54","IDCJAC0002","040214",1891,"June",20.5,"Y"
"55","IDCJAC0002","040214",1891,"July",19.4,"Y"
"56","IDCJAC0002","040214",1891,"August",21.2,"Y"
"57","IDCJAC0002","040214",1891,"September",22.9,"Y"
"58","IDCJAC0002","040214",1891,"October",25.4,"Y"
"59","IDCJAC0002","040214",1891,"November",28,"Y"
"60","IDCJAC0002","040214",1891,"December",29.8,"Y"
"61","IDCJAC0002","040214",1892,"January",29.5,"Y"
"62","IDCJAC0002","040214",1892,"February",30.3,"Y"
"63","IDCJAC0002","040214",1892,"March",27.9,"Y"
"64","IDCJAC0002","040214",1892,"April",24.5,"Y"
"65","IDCJAC0002","040214",1892,"May",22.2,"Y"
"66","IDCJAC0002","040214",1892,"June",20.2,"Y"
"67","IDCJAC0002","040214",1892,"July",20,"Y"
"68","IDCJAC0002","040214",1892,"August",22.3,"Y"
"69","IDCJAC0002","040214",1892,"September",23.1,"Y"
"70","IDCJAC0002","040214",1892,"October",26,"Y"
"71","IDCJAC0002","040214",1892,"November",28.1,"Y"
"72","IDCJAC0002","040214",1892,"December",30.4,"Y"
"73","IDCJAC0002","040214",1893,"January",29.1,"Y"
"74","IDCJAC0002","040214",1893,"February",26.5,"Y"
"75","IDCJAC0002","040214",1893,"March",25.8,"Y"
"76","IDCJAC0002","040214",1893,"April",25.2,"Y"
"77","IDCJAC0002","040214",1893,"May",23.4,"Y"
"78","IDCJAC0002","040214",1893,"June",18.9,"Y"
"79","IDCJAC0002","040214",1893,"July",20,"Y"
"80","IDCJAC0002","040214",1893,"August",21.2,"Y"
"81","IDCJAC0002","040214",1893,"September",24.4,"Y"
"82","IDCJAC0002","040214",1893,"October",27.8,"Y"
"83","IDCJAC0002","040214",1893,"November",28.7,"Y"
"84","IDCJAC0002","040214",1893,"December",30.3,"Y"
"85","IDCJAC0002","040214",1894,"January",28.9,"Y"
"86","IDCJAC0002","040214",1894,"February",28.6,"Y"
"87","IDCJAC0002","040214",1894,"March",26.4,"Y"
"88","IDCJAC0002","040214",1894,"April",25.4,"Y"
"89","IDCJAC0002","040214",1894,"May",22.3,"Y"
"90","IDCJAC0002","040214",1894,"June",20.8,"Y"
"91","IDCJAC0002","040214",1894,"July",20.2,"Y"
"92","IDCJAC0002","040214",1894,"August",22.1,"Y"
"93","IDCJAC0002","040214",1894,"September",22.8,"Y"
"94","IDCJAC0002","040214",1894,"October",25.6,"Y"
"95","IDCJAC0002","040214",1894,"November",28.5,"Y"
"96","IDCJAC0002","040214",1894,"December",27.9,"Y"
"97","IDCJAC0002","040214",1895,"January",28.4,"Y"
"98","IDCJAC0002","040214",1895,"February",28.8,"Y"
"99","IDCJAC0002","040214",1895,"March",27.8,"Y"
"100","IDCJAC0002","040214",1895,"April",25.7,"Y"
"101","IDCJAC0002","040214",1895,"May",23.8,"Y"
"102","IDCJAC0002","040214",1895,"June",21.8,"Y"
"103","IDCJAC0002","040214",1895,"July",19.2,"Y"
"104","IDCJAC0002","040214",1895,"August",23.9,"Y"
"105","IDCJAC0002","040214",1895,"September",25,"Y"
"106","IDCJAC0002","040214",1895,"October",27.4,"Y"
"107","IDCJAC0002","040214",1895,"November",27.6,"Y"
"108","IDCJAC0002","040214",1895,"December",29.5,"Y"
"109","IDCJAC0002","040214",1896,"January",30.9,"Y"
"110","IDCJAC0002","040214",1896,"February",27.9,"Y"
"111","IDCJAC0002","040214",1896,"March",28.4,"Y"
"112","IDCJAC0002","040214",1896,"April",27.1,"Y"
"113","IDCJAC0002","040214",1896,"May",23.3,"Y"
"114","IDCJAC0002","040214",1896,"June",20.5,"Y"
"115","IDCJAC0002","040214",1896,"July",19.2,"Y"
"116","IDCJAC0002","040214",1896,"August",21.2,"Y"
"117","IDCJAC0002","040214",1896,"September",24.5,"Y"
"118","IDCJAC0002","040214",1896,"October",27.6,"Y"
"119","IDCJAC0002","040214",1896,"November",25.5,"Y"
